ds,yhat,yhat_lower,yhat_upper
2022-10-25,200.4947412709995,170.3274463272683,229.0609047357846
2022-10-26,203.14907128835566,173.29595518260015,229.91703699560162
2022-10-27,201.86850018997663,172.64194757508923,230.1279254576002
2022-10-28,203.07654733481087,175.26548021817996,232.18003724022913
2022-10-29,200.63799217245037,173.60702522237938,231.60186218876004
2022-10-30,201.6530329173502,173.2647339751519,232.1155359388367
2022-10-31,201.04420855221656,171.867204310055,231.25004287795306
2022-11-01,200.2863706018851,171.0369109676508,228.47990672572612
2022-11-02,202.87075585381734,172.81484328133195,234.62526746952838
2022-11-03,201.52023999000804,172.3051158974073,230.08264574488348
2022-11-04,202.6583423694065,173.83926195383265,232.25160800994976
2022-11-05,200.14984244161897,168.7933807405677,229.99824448359158
2022-11-06,201.09493842109114,170.6564838670731,230.429814974649
2022-11-07,200.41616929052313,170.52559815763436,230.49753423020758
2022-11-08,199.65833134019394,171.46351856136775,227.823081041556
2022-11-09,202.24271659212258,173.55543561442505,230.76516809732934
2022-11-10,200.89220072831102,172.70116196354238,228.64916266763876
2022-11-11,202.03030310771106,174.3692011660652,233.3631785517647
2022-11-12,199.5218031799243,170.02015783850257,229.2966887399266
2022-11-13,200.4668991594,171.5070627803905,229.50831918861235
2022-11-14,199.78813002882785,170.49971397412463,231.2581945712779
2022-11-15,199.03029207848988,169.25848314243876,227.82468928257907
2022-11-16,201.6146773304278,173.4452193667251,232.31228399637436
2022-11-17,200.26416146661484,169.55727410169587,227.66690708726165
2022-11-18,201.40226384601476,171.04174015631168,230.73054618979967
2022-11-19,198.89376391822324,170.59143801767127,228.42646790335806
2022-11-20,199.83885989770158,169.92685523847334,228.7583137744804
2022-11-21,199.1600907671326,168.18724496447987,226.5998309900154
2022-11-22,198.40225281679875,168.822448476242,226.87326443056543
2022-11-23,200.98663806872764,173.2110996529814,230.43681824400394
2022-11-24,199.63612112221978,171.33587571481598,226.4103603607124
2022-11-25,200.7742224189215,170.57341483672525,228.74523622615175
2022-11-26,198.26572140843643,169.21816496523596,226.63805515121933
2022-11-27,199.21081630520757,168.6078856733167,228.77676272088016
2022-11-28,198.53204609194464,170.38436654453292,230.78128257304465
2022-11-29,197.7742070589077,168.0049074414194,224.72876301775452
2022-11-30,200.35859122813653,171.77814178643695,229.85398273867975
2022-12-01,199.00807428163048,171.00342682814045,229.19521904519158
2022-12-02,200.14617557833114,171.32103805543048,228.83871852855918
2022-12-03,197.63767456784308,166.68081925155212,226.29126189251772
2022-12-04,198.58276946461734,170.46057212989538,228.30031318268684
2022-12-05,197.90399925135705,169.77986228811793,228.51086771005748
2022-12-06,197.14616021832427,166.89156182865136,224.1064141444939
2022-12-07,199.7305443875535,171.09265159304312,228.06098876910625
2022-12-08,198.38002744104116,170.68270071332591,228.4451470348516
2022-12-09,199.51812873774514,170.89790870578514,229.02426672056097
2022-12-10,197.00962772725518,168.292558954111,224.93209441269144
2022-12-11,197.95472262403388,168.53846045646017,228.4740524609031
2022-12-12,197.27595241076187,168.30020536171057,226.17239957536808
2022-12-13,196.5181133777343,169.59891609317856,227.1895884787255
2022-12-14,199.10249754696238,171.20285452651999,227.8371744748023
2022-12-15,197.75198060045182,168.9191011567479,225.50423493190917
2022-12-16,198.8900818971548,167.65505026594207,226.82649200520768
2022-12-17,196.3815808866618,169.23778717468386,225.9753371935282
2022-12-18,197.32667577643997,169.77607291396205,227.62236228070458
2022-12-19,196.64790555619004,167.72538475223894,224.46736630642516
2022-12-20,195.89006651615372,166.27319979755814,225.56402288220218
2022-12-21,198.47445067839158,168.20052441432756,225.2355328913414
2022-12-22,197.12393372488367,167.2623362531589,225.2894001790063
2022-12-23,198.26203501459142,167.21279870565408,224.491634366393
2022-12-24,195.7535339971024,168.6316591632441,223.85978553350387
2022-12-25,196.698628886885,169.3323632633107,226.5294823587412
2022-12-26,196.01985866662335,167.35032855617172,224.52209037000307
2022-12-27,195.26201962659232,165.78144569954486,224.199275164049
2022-12-28,197.84640378882898,168.7463566367015,228.34483874403463
2022-12-29,196.4958868353229,168.79878545605507,224.30462352680473
2022-12-30,197.633988125027,171.0426122326796,226.4375994336774
2022-12-31,195.1254871075439,164.77507905810427,223.91096523959501
2023-01-01,196.07058199731605,164.531258100429,225.99481910261656
2023-01-02,195.39181177705666,165.49066599559802,224.05878381403033
2023-01-03,194.63397273703734,164.37834319185146,223.4280332461177
2023-01-04,197.21835689927042,168.3520301240549,224.8226729179312
2023-01-05,195.86783994576365,166.72788412131942,223.36104002750383
2023-01-06,197.00594123546776,168.87686676281447,228.17324791907362
2023-01-07,194.49744021798452,166.0203093944411,222.73097616615075
2023-01-08,195.4425351077611,166.76682096290327,222.4139283139007
2023-01-09,194.76376488749764,164.95994564990278,222.66195571455663
2023-01-10,194.00592761668685,165.37784327275793,223.1154601949758
2023-01-11,196.5903135481452,169.384249022734,226.60608185923908
2023-01-12,195.2397983638542,166.38645350128505,221.91928654193342
2023-01-13,196.37790142277797,166.2673841129897,227.2950709197439
2023-01-14,193.86940217450652,165.83006766943902,223.00804354699042
2023-01-15,194.81449883350308,164.48279840118025,223.94572862323554
2023-01-16,194.13573038245437,166.5116219761246,223.7622776748799
2023-01-17,193.37789311165346,162.5756830046943,222.10248611244523
2023-01-18,195.96227904310823,166.5040189526217,224.8733887188862
2023-01-19,194.6117638588158,165.88633527957683,223.74249878628044
2023-01-20,195.74986691773768,167.01573930708804,223.59977918049276
2023-01-21,193.24136766947416,163.26013501112135,220.95245442423234
2023-01-22,194.18646432846245,165.8240794989144,223.83519237974315
2023-01-23,193.50769587742445,165.15390737699312,220.26099997494745
2023-01-24,192.74985860662008,164.2541735475199,221.33282659006187
2023-01-25,195.3342445380672,165.20166658763415,224.13227500961477
2023-01-26,193.98372935377654,165.86682950422167,223.36305577895527
2023-01-27,195.12183241270435,165.93371733579437,222.9261016716652
2023-01-28,192.61333316443174,166.1782363665257,222.11404941551442
2023-01-29,193.5584298234218,165.37730753245634,222.0822899547491
2023-01-30,192.87966137237933,165.70320816277732,221.78095047097548
2023-01-31,192.1218241015802,162.99148801304332,219.6641379187348
2023-02-01,194.70621003302472,165.07402023818713,222.2383327268741
2023-02-02,193.53328051677576,165.1637327584947,223.20028643645637
2023-02-03,194.84896924373828,164.53664696314473,223.39268592358218
2023-02-04,192.51805566351467,165.62168378195585,220.74870585661571
2023-02-05,193.64073799054202,166.82054437277802,221.47924083330093
2023-02-06,193.13955520753387,163.10932482858553,222.7392326879323
2023-02-07,192.5593036047744,164.91438124138395,221.32307457246003
2023-02-08,195.3212752042526,167.59429621090868,225.56645893334783
2023-02-09,194.14834568800538,166.6844414679976,224.31196361560072
2023-02-10,195.46403441496946,166.52776950249637,223.34983798651038
2023-02-11,193.13312083474023,164.65487713763213,220.28909725215556
2023-02-12,194.25580316177079,164.8172553723722,224.45327839038623
2023-02-13,193.75462037876525,164.54502824726288,224.30705290433622
2023-02-14,193.1743687759905,162.61944135455366,222.02806006198955
2023-02-15,195.9363403754885,165.9643571761306,223.4856616066404
2023-02-16,194.76341085923585,168.2845035270453,224.48638345360328
2023-02-17,196.07909958619805,165.52738389491097,224.74813473214098
2023-02-18,193.7481860059658,168.19078057580677,222.7949966537385
2023-02-19,194.87086833300626,167.54152797304266,224.42785091099833
2023-02-20,194.36968554999663,165.03582366098084,223.40768208666654
2023-02-21,193.789433947226,163.75454212169802,222.16776389788268
2023-02-22,196.5514055467163,168.06564464000652,226.38921830996318
2023-02-23,195.37847603046623,166.36995496883685,224.91589504619898
2023-02-24,196.69416475743097,166.3205617058541,225.04214185506893
2023-02-25,194.36325117720227,164.47503087007493,223.0117563171294
2023-02-26,195.49952930285542,165.9912690814208,222.90509927018567
2023-02-27,195.01194231847683,165.09264009739312,223.15304251316198
2023-02-28,194.44528651433689,165.31598391592914,224.33317048684899
2023-03-01,197.22085391245713,166.89203454555764,225.99397066451286
2023-03-02,196.06152019483793,169.4601694191807,225.83444234469744
2023-03-03,197.39080472042906,168.22212622153813,227.63021895295913
2023-03-04,195.07348693882568,166.66017765296058,222.68037427289366
2023-03-05,196.2097650644887,165.51216043329154,229.36619913038783
2023-03-06,195.72217808010785,165.53308403050963,224.19523243422134
2023-03-07,195.15552227597013,165.5210316830227,222.93686784382385
2023-03-08,197.93108967409086,171.00812378254398,225.24949523098292
2023-03-09,196.77175595646457,169.18054393992054,224.54246982502647
2023-03-10,198.10104048205545,169.58801270025825,226.42970351874126
2023-03-11,195.7837227004554,168.39662662363497,225.04316889155217
2023-03-12,196.920000826122,169.71807098171857,226.82271268802336
2023-03-13,196.43241384173697,168.43584072784822,225.46015945227361
2023-03-14,195.86575803759695,166.83570582922994,223.37965673739413
2023-03-15,198.6413254357165,169.08292466653558,228.2521692419647
2023-03-16,197.48199171809281,169.54565959627936,225.8751382071012
2023-03-17,198.81127624368185,170.48752815981604,230.04526989118494
2023-03-18,196.4939584620788,167.31455837061728,223.33990521244553
2023-03-19,197.63023658774074,166.99255725359404,226.03374287157715
2023-03-20,197.14264960337383,167.77368909951082,225.89555048936998
2023-03-21,196.5759938089115,168.6154415677305,225.3983700301275
2023-03-22,199.3515612167162,170.85581399105746,228.55822656277985
2023-03-23,198.19222750878424,170.39353987396223,229.43700338839412
2023-03-24,199.5215120440617,170.10360583661614,226.5635013804128
2023-03-25,197.20419427214622,167.47486602083114,227.13129872446623
2023-03-26,198.34047240750033,167.9043410003757,228.5602683302143
2023-03-27,197.8528854328112,169.21326178419685,227.47853289807352
2023-03-28,197.2862296383523,167.02476762631014,226.7771668647257
2023-03-29,200.0617970461558,172.12630038535085,229.59134380859805
2023-03-30,198.90246333822563,170.99219969428907,226.9818463309444
2023-03-31,200.2317478734995,168.96921438168104,227.40339081096047
2023-04-01,197.91443010158906,171.26440053302525,227.67364595178617
2023-04-02,199.05070823694084,170.1296224496662,228.32707556849255
2023-04-03,198.56312126225436,168.83747695177456,227.9040875272338
2023-04-04,197.99646546779957,168.9996758425854,226.44409873467643
2023-04-05,200.77203287559945,171.88728370194218,227.27959350987774
2023-04-06,199.61269916766784,172.09768471627456,228.1166255586904
2023-04-07,200.9419837029468,174.69988629695223,228.38789090101966
2023-04-08,198.6246659310319,168.5254378229933,227.95641301617212
